data	data	3592	11950	4544	16114	2450	3532	12492	4488	3472	9334	2924	8740	8464	10754	5836	10372	2272	2870	4486	5542	5090	10866	5956	4502	22402	11840	16170	2622	4534	10044	9170	12268	9898	14362	3590	4994	3590	9306	8412	12592	8236	8864	10326	17778	5382	3556	10460	2822	1160	5154	3202	8806	14398	6112	4798	10618	3734	4240	1388	6722	11870	2312	3526	5344	8880	9648	10934	3990	4982	5250	3018	10116	4630	17886	2316	7114	10810	3222	3934	5668	7426	9684	11440	3726	8024	10442	5472	7038	5690	5768	7132	11936	16786	2678	4692	3900	3932	5274	11146	5140	
data	data	schaefer100_mni_1	schaefer100_mni_2	schaefer100_mni_3	schaefer100_mni_4	schaefer100_mni_5	schaefer100_mni_6	schaefer100_mni_7	schaefer100_mni_8	schaefer100_mni_9	schaefer100_mni_10	schaefer100_mni_11	schaefer100_mni_12	schaefer100_mni_13	schaefer100_mni_14	schaefer100_mni_15	schaefer100_mni_16	schaefer100_mni_17	schaefer100_mni_18	schaefer100_mni_19	schaefer100_mni_20	schaefer100_mni_21	schaefer100_mni_22	schaefer100_mni_23	schaefer100_mni_24	schaefer100_mni_25	schaefer100_mni_26	schaefer100_mni_27	schaefer100_mni_28	schaefer100_mni_29	schaefer100_mni_30	schaefer100_mni_31	schaefer100_mni_32	schaefer100_mni_33	schaefer100_mni_34	schaefer100_mni_35	schaefer100_mni_36	schaefer100_mni_37	schaefer100_mni_38	schaefer100_mni_39	schaefer100_mni_40	schaefer100_mni_41	schaefer100_mni_42	schaefer100_mni_43	schaefer100_mni_44	schaefer100_mni_45	schaefer100_mni_46	schaefer100_mni_47	schaefer100_mni_48	schaefer100_mni_49	schaefer100_mni_50	schaefer100_mni_51	schaefer100_mni_52	schaefer100_mni_53	schaefer100_mni_54	schaefer100_mni_55	schaefer100_mni_56	schaefer100_mni_57	schaefer100_mni_58	schaefer100_mni_59	schaefer100_mni_60	schaefer100_mni_61	schaefer100_mni_62	schaefer100_mni_63	schaefer100_mni_64	schaefer100_mni_65	schaefer100_mni_66	schaefer100_mni_67	schaefer100_mni_68	schaefer100_mni_69	schaefer100_mni_70	schaefer100_mni_71	schaefer100_mni_72	schaefer100_mni_73	schaefer100_mni_74	schaefer100_mni_75	schaefer100_mni_76	schaefer100_mni_77	schaefer100_mni_78	schaefer100_mni_79	schaefer100_mni_80	schaefer100_mni_81	schaefer100_mni_82	schaefer100_mni_83	schaefer100_mni_84	schaefer100_mni_85	schaefer100_mni_86	schaefer100_mni_87	schaefer100_mni_88	schaefer100_mni_89	schaefer100_mni_90	schaefer100_mni_91	schaefer100_mni_92	schaefer100_mni_93	schaefer100_mni_94	schaefer100_mni_95	schaefer100_mni_96	schaefer100_mni_97	schaefer100_mni_98	schaefer100_mni_99	schaefer100_mni_100	
8412	schaefer100_mni_39	0	72	0	381	0	0	192	0	274	0	0	0	0	89	30	279	0	0	0	0	0	0	0	575	0	0	0	0	0	29	0	0	0	0	546	393	197	0	0	0	0	53	105	0	0	0	0	411	0	18	0	0	7	0	13	28	0	0	0	20	0	0	0	0	0	0	37	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	20	0	0	0	30	171	0	0	223	0	0	0	0	0	0	0	0	0	
12592	schaefer100_mni_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	63	0	419	0	486	455	0	0	0	49	0	1267	0	0	0	17	0	0	0	0	0	384	10	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	186	0	0	0	0	0	0	0	360	0	0	0	0	0	2226	213	0	0	0	0	0	0	0	
8236	schaefer100_mni_41	0	0	0	0	0	0	0	0	0	714	0	89	0	20	0	0	0	0	0	0	0	358	0	0	0	0	0	0	1399	989	0	0	0	0	0	0	0	0	0	0	0	544	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8864	schaefer100_mni_42	0	0	0	0	0	0	0	0	0	1740	18	147	0	332	0	0	4	0	0	0	119	43	0	0	0	0	0	0	0	1008	0	0	0	0	0	0	0	0	53	0	544	0	154	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10326	schaefer100_mni_43	0	23	0	296	0	0	5	50	0	46	9	0	0	236	411	282	0	0	236	0	519	0	0	81	0	0	0	0	0	181	1811	0	0	0	5	0	0	0	105	0	0	154	0	0	0	0	0	14	0	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17778	schaefer100_mni_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	73	2011	665	0	0	0	0	13	0	417	0	0	0	2050	0	384	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	237	0	0	0	0	0	0	0	0	185	0	0	0	0	0	577	2228	0	0	0	0	0	0	0	
5382	schaefer100_mni_45	0	0	0	0	0	0	0	0	0	0	47	191	160	0	0	0	0	0	0	280	0	9	144	0	269	271	67	0	0	0	0	255	436	50	0	0	0	418	0	10	0	0	0	26	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3556	schaefer100_mni_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	103	0	141	64	5	113	61	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	1067	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10460	schaefer100_mni_47	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	31	480	0	69	290	43	122	0	0	0	1636	141	1303	0	0	0	0	0	23	0	0	0	0	14	1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2822	schaefer100_mni_48	5	18	0	51	143	195	178	0	0	0	0	0	0	149	37	4	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	78	0	0	0	411	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1160	schaefer100_mni_49	0	0	0	0	53	23	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	180	0	0	0	0	0	0	38	54	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5154	schaefer100_mni_50	0	0	0	5	0	0	0	0	0	262	0	0	0	219	459	0	0	0	0	0	540	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	18	0	0	270	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3202	schaefer100_mni_51	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	278	148	0	0	0	0	0	12	93	0	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	
8806	schaefer100_mni_52	0	0	0	0	41	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	1336	402	10	1788	0	0	0	0	0	0	0	0	275	45	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	31	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
14398	schaefer100_mni_53	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1336	0	5	114	948	0	0	0	0	0	0	0	0	549	916	1015	0	210	0	0	0	34	0	0	0	0	0	0	847	0	0	0	212	0	0	0	385	0	0	489	0	0	0	0	128	0	0	0	0	
6112	schaefer100_mni_54	18	5	33	0	93	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	402	5	0	1260	856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	48	0	0	0	0	
4798	schaefer100_mni_55	0	0	0	0	0	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	148	10	114	1260	0	252	0	0	0	0	0	0	0	0	89	9	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	40	58	0	0	202	0	0	0	0	112	52	0	0	0	
10618	schaefer100_mni_56	0	6	97	0	0	14	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	1788	948	856	252	0	0	0	0	0	0	0	0	0	0	0	505	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	0	0	99	0	0	0	0	0	0	0	0	0	
3734	schaefer100_mni_57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	0	46	0	120	0	0	0	134	0	79	0	104	0	22	0	0	0	0	0	0	0	608	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4240	schaefer100_mni_58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0	225	76	0	0	0	112	0	0	0	578	0	574	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1388	schaefer100_mni_59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	60	0	0	0	0	0	0	0	53	46	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6722	schaefer100_mni_60	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	0	13	0	0	0	0	0	0	0	0	0	174	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	60	0	0	0	0	0	0	0	8	0	49	131	0	0	793	285	0	0	11	0	0	12	0	0	0	0	0	0	177	9	0	0	394	0	0	0	0	0	0	0	0	0	
11870	schaefer100_mni_61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	92	266	7	89	0	0	0	0	0	117	103	0	0	0	0	0	0	0	0	0	22	628	0	0	0	0	0	21	0	0	0	0	0	0	0	242	882	2960	494	
2312	schaefer100_mni_62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	46	0	0	0	92	0	136	58	19	0	0	4	0	109	43	84	0	37	0	0	0	0	0	0	0	39	11	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	270	49	
3526	schaefer100_mni_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	136	0	448	0	0	0	105	0	32	96	52	0	331	0	0	0	0	0	0	0	221	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	18	16	0	
5344	schaefer100_mni_64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	112	0	0	7	58	448	0	0	5	0	377	0	0	58	0	0	0	0	0	0	0	0	0	0	1487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8880	schaefer100_mni_65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	275	549	0	89	0	0	0	0	0	89	19	0	0	0	631	7	0	0	0	0	34	0	0	10	0	0	0	77	0	0	0	1191	0	0	0	9	4	22	0	40	0	0	0	0	225	74	36	547	64	
9648	schaefer100_mni_66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	916	0	9	0	0	0	0	0	0	0	0	5	631	0	355	0	0	0	12	0	37	0	6	0	0	0	0	60	0	0	314	447	0	0	0	0	1260	0	20	0	0	0	0	216	0	0	0	491	
10934	schaefer100_mni_67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	505	0	0	0	8	0	0	0	0	7	355	0	0	1584	0	0	0	76	0	0	0	0	0	0	725	0	0	62	567	0	0	0	368	38	0	110	0	0	0	0	0	0	0	0	0	
3990	schaefer100_mni_68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	578	53	0	0	4	105	377	0	0	0	0	0	0	365	0	0	0	166	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4982	schaefer100_mni_69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	7	0	0	46	49	0	0	0	0	0	0	1584	0	0	0	0	0	18	0	0	0	0	0	0	75	0	0	0	0	0	0	0	397	0	0	75	0	0	0	0	0	0	0	0	0	
5250	schaefer100_mni_70	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	574	0	131	0	109	32	0	0	0	0	0	0	0	0	52	0	127	0	0	0	0	0	0	0	254	0	0	725	0	0	0	0	473	0	0	0	0	0	0	4	0	0	0	
3018	schaefer100_mni_71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	43	96	58	0	12	0	365	0	0	0	0	0	0	337	0	0	0	0	13	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	441	
10116	schaefer100_mni_72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	103	84	52	0	34	0	0	0	0	52	0	0	0	658	0	0	4	20	725	0	100	204	397	0	55	15	0	0	0	0	0	0	0	440	612	0	1067	218	114	0	
4630	schaefer100_mni_73	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	11	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	14	0	0	0	0	793	0	0	0	0	0	37	76	0	18	0	0	0	0	195	0	0	0	0	0	18	0	0	5	0	0	0	268	222	0	0	129	0	0	0	0	428	0	0	0	0	
17886	schaefer100_mni_74	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1454	0	746	0	0	0	0	0	0	4	0	0	16	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	22	0	0	285	0	37	331	0	0	0	0	0	0	127	0	658	195	0	0	43	1682	0	0	0	101	581	0	0	230	121	1476	0	0	136	0	226	266	60	85	0	0	0	0	0	
2316	schaefer100_mni_75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	166	0	0	337	0	0	0	0	0	0	0	0	174	0	0	0	24	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	67	
7114	schaefer100_mni_76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	34	0	0	0	976	0	0	0	224	194	0	0	0	409	0	6	1616	21	14	0	0	0	0	0	
10810	schaefer100_mni_77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	1479	0	0	0	0	0	0	91	0	0	0	0	0	132	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	4	0	1682	0	34	0	0	0	0	0	0	0	0	0	153	15	0	0	18	0	148	1108	54	16	0	0	0	0	0	
3222	schaefer100_mni_78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	14	0	0	0	0	0	0	287	0	0	0	0	0	981	0	92	0	0	0	0	0	0	
3934	schaefer100_mni_79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	725	0	0	0	0	0	14	0	0	0	0	607	0	0	0	0	0	0	0	0	0	0	18	0	0	73	383	70	0	
5668	schaefer100_mni_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	847	0	0	0	0	0	310	12	0	0	0	0	0	60	725	213	75	0	13	0	18	0	174	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	
7426	schaefer100_mni_81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	101	0	976	0	0	0	0	0	142	0	0	66	1135	0	0	0	20	0	0	312	48	807	0	0	0	0	0	
9684	schaefer100_mni_82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	7	0	0	22	39	221	1487	0	0	0	0	0	254	0	204	0	581	0	0	0	0	0	0	142	0	0	0	1065	0	0	0	0	19	0	0	109	0	78	0	0	0	0	0	
11440	schaefer100_mni_83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628	11	0	0	1191	314	62	0	0	0	0	397	5	0	0	0	0	0	607	0	0	0	0	0	0	0	0	19	240	0	114	0	0	0	0	0	80	836	1182	14	
3726	schaefer100_mni_84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	212	0	0	0	0	0	0	0	0	0	0	0	0	447	567	0	0	0	0	0	0	0	24	0	0	0	0	336	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	
8024	schaefer100_mni_85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	42	0	0	0	0	0	0	725	0	55	0	230	0	224	0	0	0	0	66	1065	0	0	0	190	0	0	0	564	0	7	562	20	0	0	0	0	0	0	
10442	schaefer100_mni_86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	35	0	0	0	0	0	360	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	121	0	194	153	287	0	0	1135	0	0	0	190	0	0	0	0	20	0	1285	260	412	553	0	0	0	0	0	
5472	schaefer100_mni_87	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	76	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	177	0	0	0	0	9	0	0	0	0	0	0	0	268	1476	0	0	15	0	0	0	0	0	0	0	0	0	0	180	0	0	321	0	0	0	0	115	0	0	0	0	
7038	schaefer100_mni_88	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	23	212	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	4	385	38	58	499	0	0	0	9	0	0	0	0	4	0	368	0	397	0	0	0	222	0	0	0	0	0	0	0	0	0	19	0	0	0	180	0	0	0	813	0	0	0	0	99	0	0	0	0	
5690	schaefer100_mni_89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	22	1260	38	0	0	0	27	0	0	0	374	0	0	0	0	0	0	0	240	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617	
5768	schaefer100_mni_90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0	0	0	136	0	409	18	0	0	0	20	19	0	0	564	20	0	0	0	0	0	0	1056	5	13	0	0	0	0	0	
7132	schaefer100_mni_91	0	0	0	4	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	489	0	202	99	0	0	0	394	0	0	0	0	40	20	110	0	75	0	0	0	129	0	0	0	0	0	0	0	0	0	114	0	0	0	321	813	0	0	0	0	0	0	0	479	0	0	0	0	
11936	schaefer100_mni_92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	12	0	0	0	0	0	129	0	0	0	0	0	2226	0	0	0	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	6	148	981	0	0	0	0	0	0	7	1285	0	0	0	0	0	0	287	0	0	0	0	0	0	0	
16786	schaefer100_mni_93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	348	0	0	0	0	0	0	13	0	0	0	0	0	213	0	0	0	2228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	1616	1108	0	0	0	312	109	0	0	562	260	0	0	0	1056	0	287	0	10	0	0	0	0	0	0	
2678	schaefer100_mni_94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	60	0	21	54	92	18	0	48	0	0	0	20	412	0	0	0	5	0	0	10	0	146	0	0	0	0	0	
4692	schaefer100_mni_95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	85	0	14	16	0	0	0	807	78	0	0	0	553	0	0	0	13	0	0	0	146	0	0	0	0	0	0	
3900	schaefer100_mni_96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	48	112	0	0	0	0	0	0	0	0	0	225	216	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	115	99	0	0	479	0	0	0	0	0	0	0	0	100	
