data	data	3592	11950	4544	16114	2450	3532	12492	4488	3472	9334	2924	8740	8464	10754	5836	10372	2272	2870	4486	5542	5090	10866	5956	4502	22402	11840	16170	2622	4534	10044	9170	12268	9898	14362	3590	4994	3590	9306	8412	12592	8236	8864	10326	17778	5382	3556	10460	2822	1160	5154	3202	8806	14398	6112	4798	10618	3734	4240	1388	6722	11870	2312	3526	5344	8880	9648	10934	3990	4982	5250	3018	10116	4630	17886	2316	7114	10810	3222	3934	5668	7426	9684	11440	3726	8024	10442	5472	7038	5690	5768	7132	11936	16786	2678	4692	3900	3932	5274	11146	5140	
data	data	schaefer100_mni_1	schaefer100_mni_2	schaefer100_mni_3	schaefer100_mni_4	schaefer100_mni_5	schaefer100_mni_6	schaefer100_mni_7	schaefer100_mni_8	schaefer100_mni_9	schaefer100_mni_10	schaefer100_mni_11	schaefer100_mni_12	schaefer100_mni_13	schaefer100_mni_14	schaefer100_mni_15	schaefer100_mni_16	schaefer100_mni_17	schaefer100_mni_18	schaefer100_mni_19	schaefer100_mni_20	schaefer100_mni_21	schaefer100_mni_22	schaefer100_mni_23	schaefer100_mni_24	schaefer100_mni_25	schaefer100_mni_26	schaefer100_mni_27	schaefer100_mni_28	schaefer100_mni_29	schaefer100_mni_30	schaefer100_mni_31	schaefer100_mni_32	schaefer100_mni_33	schaefer100_mni_34	schaefer100_mni_35	schaefer100_mni_36	schaefer100_mni_37	schaefer100_mni_38	schaefer100_mni_39	schaefer100_mni_40	schaefer100_mni_41	schaefer100_mni_42	schaefer100_mni_43	schaefer100_mni_44	schaefer100_mni_45	schaefer100_mni_46	schaefer100_mni_47	schaefer100_mni_48	schaefer100_mni_49	schaefer100_mni_50	schaefer100_mni_51	schaefer100_mni_52	schaefer100_mni_53	schaefer100_mni_54	schaefer100_mni_55	schaefer100_mni_56	schaefer100_mni_57	schaefer100_mni_58	schaefer100_mni_59	schaefer100_mni_60	schaefer100_mni_61	schaefer100_mni_62	schaefer100_mni_63	schaefer100_mni_64	schaefer100_mni_65	schaefer100_mni_66	schaefer100_mni_67	schaefer100_mni_68	schaefer100_mni_69	schaefer100_mni_70	schaefer100_mni_71	schaefer100_mni_72	schaefer100_mni_73	schaefer100_mni_74	schaefer100_mni_75	schaefer100_mni_76	schaefer100_mni_77	schaefer100_mni_78	schaefer100_mni_79	schaefer100_mni_80	schaefer100_mni_81	schaefer100_mni_82	schaefer100_mni_83	schaefer100_mni_84	schaefer100_mni_85	schaefer100_mni_86	schaefer100_mni_87	schaefer100_mni_88	schaefer100_mni_89	schaefer100_mni_90	schaefer100_mni_91	schaefer100_mni_92	schaefer100_mni_93	schaefer100_mni_94	schaefer100_mni_95	schaefer100_mni_96	schaefer100_mni_97	schaefer100_mni_98	schaefer100_mni_99	schaefer100_mni_100	
4486	schaefer100_mni_19	0	0	0	0	0	0	0	21	132	0	0	0	194	0	0	1099	28	52	0	0	5	0	0	5	0	0	0	0	0	0	352	0	0	0	0	119	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5542	schaefer100_mni_20	0	0	0	0	0	0	0	703	60	0	204	12	6	0	0	0	0	0	0	0	0	52	31	0	823	0	0	0	0	0	0	0	110	0	0	0	0	480	0	6	0	0	0	0	280	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5090	schaefer100_mni_21	0	0	0	0	0	0	0	0	0	264	86	46	6	202	29	0	448	116	5	0	0	0	0	0	0	0	0	0	0	143	22	0	0	0	0	0	0	0	0	0	0	119	519	0	0	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10866	schaefer100_mni_22	0	0	0	0	0	0	0	125	0	106	134	183	0	1254	0	0	0	0	0	52	0	0	228	0	249	0	0	66	657	1496	8	0	137	0	0	0	0	0	0	0	358	43	0	0	9	117	31	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5956	schaefer100_mni_23	0	0	0	0	0	0	0	0	0	6	47	173	6	0	0	0	0	0	0	31	0	228	0	0	966	139	12	0	0	0	0	262	233	75	0	0	0	0	0	63	0	0	0	10	144	103	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4502	schaefer100_mni_24	0	68	0	124	0	4	7	0	412	0	0	0	0	15	32	142	0	0	5	0	0	0	0	0	47	0	352	0	0	0	0	0	0	0	28	152	53	0	575	0	0	0	81	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0	0	0	0	0	0	0	
22402	schaefer100_mni_25	0	0	0	0	0	0	0	0	228	10	80	1562	438	0	0	0	0	0	0	823	0	249	966	47	0	114	372	0	0	0	0	23	794	385	0	0	0	1243	0	419	0	0	0	73	269	141	69	0	0	0	0	0	0	0	0	0	0	0	0	909	0	0	0	0	0	0	0	0	0	58	0	0	7	1454	0	0	223	0	0	0	6	6	0	0	35	16	0	0	0	142	0	0	5	13	22	0	0	0	0	0	
11840	schaefer100_mni_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	114	0	743	0	0	0	0	1704	0	291	0	0	0	293	0	0	0	0	0	2011	271	64	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16170	schaefer100_mni_27	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	12	352	372	743	0	0	0	0	0	37	9	1108	0	0	1235	152	0	486	0	0	0	665	67	5	43	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	746	0	7	1479	0	0	0	0	0	0	0	0	0	0	0	0	9	0	84	348	0	0	0	0	0	0	0	
2622	schaefer100_mni_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	50	0	0	0	0	462	0	0	0	0	0	455	0	0	0	0	0	113	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	
