data	data	19064	13112	40046	39544	7554	9430	37180	25354	4862	3506	7412	10572	17314	8332	9864	8104	10606	7350	47564	36904	900	792	38250	23016	5262	7746	3884	5266	18440	10994	13598	16184	6740	14546	2590	3348	8268	10292	3474	3762	1342	2902	16008	15616	15516	15512	12702	16478	15888	17520	31726	20376	6886	6852	22888	20260	12428	10396	9858	9650	16856	5368	6560	5180	11072	11290	17238	16904	8918	8782	8528	12828	12268	11656	1764	746	3164	3200	3124	4372	21984	12766	10586	6336	29604	20240	1616	1718	27668	15768	29094	29796	15382	16616	446	2094	8698	10468	22908	22184	4734	2972	10434	7904	2022	2144	420	406	214	300	5792	4516	2954	3006	584	386	
data	data	aal116_mni_2001	aal116_mni_2002	aal116_mni_2101	aal116_mni_2102	aal116_mni_2111	aal116_mni_2112	aal116_mni_2201	aal116_mni_2202	aal116_mni_2211	aal116_mni_2212	aal116_mni_2301	aal116_mni_2302	aal116_mni_2311	aal116_mni_2312	aal116_mni_2321	aal116_mni_2322	aal116_mni_2331	aal116_mni_2332	aal116_mni_2401	aal116_mni_2402	aal116_mni_2501	aal116_mni_2502	aal116_mni_2601	aal116_mni_2602	aal116_mni_2611	aal116_mni_2612	aal116_mni_2701	aal116_mni_2702	aal116_mni_3001	aal116_mni_3002	aal116_mni_4001	aal116_mni_4002	aal116_mni_4011	aal116_mni_4012	aal116_mni_4021	aal116_mni_4022	aal116_mni_4101	aal116_mni_4102	aal116_mni_4111	aal116_mni_4112	aal116_mni_4201	aal116_mni_4202	aal116_mni_5001	aal116_mni_5002	aal116_mni_5011	aal116_mni_5012	aal116_mni_5021	aal116_mni_5022	aal116_mni_5101	aal116_mni_5102	aal116_mni_5201	aal116_mni_5202	aal116_mni_5301	aal116_mni_5302	aal116_mni_5401	aal116_mni_5402	aal116_mni_6001	aal116_mni_6002	aal116_mni_6101	aal116_mni_6102	aal116_mni_6201	aal116_mni_6202	aal116_mni_6211	aal116_mni_6212	aal116_mni_6221	aal116_mni_6222	aal116_mni_6301	aal116_mni_6302	aal116_mni_6401	aal116_mni_6402	aal116_mni_7001	aal116_mni_7002	aal116_mni_7011	aal116_mni_7012	aal116_mni_7021	aal116_mni_7022	aal116_mni_7101	aal116_mni_7102	aal116_mni_8101	aal116_mni_8102	aal116_mni_8111	aal116_mni_8112	aal116_mni_8121	aal116_mni_8122	aal116_mni_8201	aal116_mni_8202	aal116_mni_8211	aal116_mni_8212	aal116_mni_8301	aal116_mni_8302	aal116_mni_9001	aal116_mni_9002	aal116_mni_9011	aal116_mni_9012	aal116_mni_9021	aal116_mni_9022	aal116_mni_9031	aal116_mni_9032	aal116_mni_9041	aal116_mni_9042	aal116_mni_9051	aal116_mni_9052	aal116_mni_9061	aal116_mni_9062	aal116_mni_9071	aal116_mni_9072	aal116_mni_9081	aal116_mni_9082	aal116_mni_9100	aal116_mni_9110	aal116_mni_9120	aal116_mni_9130	aal116_mni_9140	aal116_mni_9150	aal116_mni_9160	aal116_mni_9170	
4862	aal116_mni_2211	0	0	215	0	569	0	325	0	0	0	0	0	182	0	863	0	0	0	0	0	0	0	0	0	15	0	167	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3506	aal116_mni_2212	0	0	0	60	0	939	0	285	0	0	0	0	0	32	0	346	0	0	0	0	0	0	0	0	0	19	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7412	aal116_mni_2301	939	0	12	0	0	0	495	0	0	0	0	0	686	0	46	0	402	0	683	0	0	0	0	0	0	0	0	0	319	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10572	aal116_mni_2302	0	1521	0	120	0	0	0	1189	0	0	0	0	0	388	0	24	0	261	48	774	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17314	aal116_mni_2311	493	0	515	0	0	0	4215	0	182	0	686	0	0	0	1080	0	34	0	161	0	0	0	73	0	0	0	0	0	1060	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8332	aal116_mni_2312	0	0	0	375	0	24	0	1342	0	32	0	388	0	0	0	471	0	21	98	768	0	0	0	48	0	0	0	0	0	253	0	18	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9864	aal116_mni_2321	0	0	553	0	423	0	807	0	863	0	46	0	1080	0	0	0	0	0	195	0	42	0	0	0	0	0	40	0	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	275	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8104	aal116_mni_2322	0	0	0	423	0	722	0	992	0	346	0	24	0	471	0	0	0	17	19	65	0	15	0	0	0	0	0	20	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	89	0	0	0	0	0	0	0	74	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10606	aal116_mni_2331	888	0	12	0	0	0	153	0	0	0	402	0	34	0	0	0	0	0	2339	0	0	0	0	0	0	0	0	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	15	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	236	0	101	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7350	aal116_mni_2332	0	257	0	23	0	0	0	122	0	0	0	261	0	21	0	17	0	0	0	1404	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	477	0	0	0	0	0	131	0	0	0	0	0	0	0	53	0	195	0	13	0	0	0	91	0	212	0	42	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
